ID;Ganancia;Online;CategoriaEdad;CategoriaIngresos;Permanencia;Municipio
48;512;0;6;9;1.16;Salsipuedes
49;-27;0;;;1.66;Salsipuedes
50;-1;0;;;40;Losmochis
51;313;0;4;7;8.75;Salsipuedes
52;205;0;7;3;19.16;Salsipuedes
53;5;1;;;0.75;Losmochis
54;367;0;5;7;7.33;Salsipuedes
55;-48;1;2;6;6.58;Macumba
56;97;0;5;3;29;Salsipuedes
57;316;0;6;6;22.41;Macumba
58;-44;0;;;6.25;Losmochis
59;-27;0;4;9;15.08;Salsipuedes
60;6;0;5;7;32.08;Salsipuedes
61;-13;0;3;6;6.91;Salsipuedes
62;-43;0;;;1.25;Macumba
63;362;0;;;0.41;Salsipuedes
64;7;0;;;8.41;Salsipuedes
65;-67;0;3;1;3.75;Losmochis
66;-34;0;4;6;2.83;Salsipuedes
67;191;1;;;3.33;Macumba
68;-30;0;;;5.41;Salsipuedes
69;277;0;7;3;15.08;Salsipuedes
70;4;0;;;1.25;Macumba
71;16;1;5;8;6.75;Salsipuedes
72;703;1;4;9;10.25;Salsipuedes
73;-36;0;3;6;7.66;Salsipuedes
74;238;1;6;9;29.41;Salsipuedes
75;-47;0;;;4.16;Salsipuedes
76;220;0;7;3;2.5;Macumba
77;-213;0;4;6;11.66;Losmochis
78;-41;0;4;6;6.16;Losmochis
79;253;0;4;6;3.91;Salsipuedes
80;-29;0;1;1;6.41;Salsipuedes
81;-126;0;5;9;2.58;Salsipuedes
82;-38;0;;;7.75;Salsipuedes
83;83;0;2;5;5.16;Salsipuedes
84;73;0;3;6;4.66;Salsipuedes
85;-5;0;3;8;1.5;Salsipuedes
86;380;0;3;7;7.08;Salsipuedes
87;-56;0;6;1;34.5;Salsipuedes
88;51;0;5;9;11.08;Salsipuedes
89;56;0;6;7;4.58;Salsipuedes
90;-90;1;2;7;3.75;Salsipuedes
91;-69;0;7;6;10.08;Losmochis
92;-131;1;6;6;6.5;Salsipuedes
93;-141;0;7;9;33.5;Salsipuedes
94;-48;0;4;6;10.25;Macumba
95;-66;0;4;6;8.83;Salsipuedes
96;-6;0;4;1;5.5;Macumba
97;-65;0;;;5.08;Salsipuedes
98;318;0;4;9;21.41;Salsipuedes
99;768;0;4;4;10.66;Salsipuedes
100;-24;0;;;5.91;Salsipuedes
101;19;0;2;4;7.5;Salsipuedes
102;208;0;3;6;6.75;Losmochis
103;-83;0;5;7;6.83;Salsipuedes
104;36;0;;;24;Salsipuedes
105;295;0;7;3;20.58;Losmochis
106;10;0;;;2;Salsipuedes
107;46;0;4;3;5.58;Salsipuedes
108;671;0;;;12.66;Salsipuedes
109;56;0;4;8;21.08;Salsipuedes
110;865;0;5;9;20.83;Salsipuedes
111;-29;0;3;1;4.16;Salsipuedes
112;13;0;;;3.5;Macumba
113;218;0;2;4;9.41;Salsipuedes
114;94;0;;;7.58;Salsipuedes
115;-82;0;7;1;1.91;Salsipuedes
116;-134;0;3;1;3.75;Salsipuedes
117;-2;0;5;7;4.58;Salsipuedes
118;-3;0;3;2;6.41;Macumba
119;-45;0;3;6;7.5;Salsipuedes
120;-191;1;2;7;4.41;Salsipuedes
121;66;0;5;6;6.75;Salsipuedes
122;47;0;;;8.16;Salsipuedes
123;10;0;;;6.5;Salsipuedes
124;0;0;;;5.41;Salsipuedes
125;396;0;6;7;41.16;Salsipuedes
126;53;0;1;2;13.91;Salsipuedes
127;96;0;3;6;2.75;Salsipuedes
128;-25;0;4;9;14.25;Salsipuedes
129;-27;1;3;3;1.91;Salsipuedes
130;301;0;4;7;17.5;Salsipuedes
131;475;0;7;4;37.41;Macumba
132;-7;0;;;3.16;Salsipuedes
133;121;0;4;4;22.25;Losmochis
134;175;0;;;5.33;Macumba
135;32;0;4;6;9.25;Salsipuedes
136;-6;0;3;6;4.5;Salsipuedes
137;110;0;;;6.08;Salsipuedes
138;-54;0;4;6;4.08;Salsipuedes
139;-118;0;2;6;10.08;Salsipuedes
140;13;0;2;;1.33;Salsipuedes
141;284;1;3;6;8.91;Salsipuedes
142;79;0;3;8;5.91;Macumba
143;-20;0;;;1.5;Macumba
144;-91;0;;;3;Salsipuedes
145;52;0;;;8.25;Salsipuedes
146;198;0;;;10.16;Salsipuedes
147;565;1;2;9;3.66;Salsipuedes
148;23;0;5;6;26.75;Salsipuedes
149;-60;0;3;7;5.91;Salsipuedes
150;-33;0;;;11.58;Macumba
151;-9;0;;;1;Salsipuedes
152;-19;0;;;4.41;Salsipuedes
153;439;0;6;3;25.83;Salsipuedes
154;167;0;6;6;30.08;Salsipuedes
155;-63;0;6;3;2.16;Salsipuedes
156;-25;0;6;6;5.41;Salsipuedes
157;338;0;;;6.16;Salsipuedes
158;78;0;4;6;7;Salsipuedes
159;459;0;2;5;4;Macumba
160;-52;0;;;11.25;Macumba
161;136;0;;;2.75;Salsipuedes
162;16;0;3;7;7.08;Salsipuedes
163;-68;0;;7;9.08;Salsipuedes
164;441;0;;;7.91;Salsipuedes
165;263;0;7;6;14.33;Salsipuedes
166;-59;0;5;5;3.58;Salsipuedes
167;69;0;3;5;1;Salsipuedes
168;-25;0;3;8;4.25;Salsipuedes
169;639;0;4;9;15.41;Salsipuedes
170;896;0;3;6;13.58;Salsipuedes
171;-58;0;;;3.66;Salsipuedes
172;642;0;2;6;5.16;Salsipuedes
173;-37;0;5;1;20.41;Losmochis
174;-28;0;;;3.75;Salsipuedes
175;136;0;;;29.25;Losmochis
176;49;0;4;1;5.08;Macumba
177;10;0;;;0.16;Salsipuedes
178;-120;1;;;13.83;Salsipuedes
179;-80;0;;2;7.08;Salsipuedes
180;498;1;7;3;26.41;Salsipuedes
181;402;0;3;6;0.75;Salsipuedes
182;439;0;5;5;3.75;Salsipuedes
183;308;0;7;3;2.33;Salsipuedes
184;0;0;5;5;10.5;Salsipuedes
185;-19;1;3;7;1.41;Salsipuedes
186;283;1;;;19.5;Salsipuedes
187;92;0;2;7;10.08;Salsipuedes
188;14;0;4;5;21.41;Salsipuedes
189;177;0;7;2;8.91;Salsipuedes
190;14;0;2;9;5.08;Salsipuedes
191;-40;1;3;6;3.66;Salsipuedes
192;216;0;3;8;5;Salsipuedes
193;-107;0;;;4.5;Losmochis
194;-37;0;2;6;6.58;Macumba
195;33;0;3;1;2.41;Salsipuedes
196;22;0;;;17.66;Salsipuedes
197;-65;0;4;7;9.75;Salsipuedes
198;-17;1;4;5;13.16;Macumba
199;-26;0;;;4.33;Salsipuedes
200;126;0;2;8;4.91;Salsipuedes
201;382;0;4;6;14.91;Salsipuedes
202;5;0;5;3;22.5;Losmochis
203;-88;0;2;6;7.75;Salsipuedes
204;204;0;7;2;15.16;Salsipuedes
205;170;0;5;5;5;Salsipuedes
206;-24;0;5;4;20.58;Salsipuedes
207;-24;0;;;2.91;Macumba
208;273;0;5;9;30.08;Salsipuedes
209;404;0;4;6;3.5;Salsipuedes
210;-10;1;4;6;4.5;Macumba
211;98;0;7;1;18.16;Salsipuedes
212;11;0;3;7;1.91;Macumba
213;-17;0;7;9;27.25;Salsipuedes
214;1;0;1;7;2.75;Losmochis
215;-179;1;4;6;11.08;Salsipuedes
216;0;1;;;4.91;Salsipuedes
217;-33;0;2;1;5.16;Salsipuedes
218;746;1;4;3;18.25;Salsipuedes
219;175;0;;;13.66;Salsipuedes
220;-110;0;2;6;5.75;Salsipuedes
221;7;0;7;6;22.08;Salsipuedes
222;259;0;7;1;16.16;Salsipuedes
223;44;0;;;5.33;Salsipuedes
224;160;0;4;5;25.33;Salsipuedes
225;246;0;;;16.58;Salsipuedes
226;73;0;7;5;8.25;Salsipuedes
227;-78;0;3;4;4.58;Salsipuedes
228;177;0;4;6;4.16;Salsipuedes
229;13;0;;;4.5;Losmochis
230;-1;0;;;12;Salsipuedes
231;401;0;;;4.66;Salsipuedes
232;335;0;4;6;5.25;Salsipuedes
233;-109;0;;;9.16;Salsipuedes
234;1088;0;6;4;26.91;Salsipuedes
235;-30;1;2;;5.08;Salsipuedes
236;-10;0;4;6;15.33;Salsipuedes
237;400;0;7;7;9;Macumba
238;285;0;2;3;11.41;Salsipuedes
239;165;0;;;4.41;Macumba
240;128;0;3;;2.25;Salsipuedes
241;-27;1;2;6;0.5;Salsipuedes
242;-48;0;3;7;1.5;Salsipuedes
243;1517;0;4;9;21.83;Salsipuedes
244;-59;0;7;3;9.75;Salsipuedes
245;76;0;;;8.5;Salsipuedes
246;-19;0;;;2.08;Salsipuedes
247;10;0;;;4.08;Salsipuedes
248;45;0;3;5;11.25;Salsipuedes
249;157;1;5;6;26.33;Salsipuedes
250;563;0;5;6;0.83;Salsipuedes
251;-95;0;4;9;17.75;Salsipuedes
252;-69;0;7;4;11.41;Salsipuedes
253;-16;0;;;3.41;Salsipuedes
254;-97;0;4;9;19.66;Salsipuedes
255;721;0;5;1;18.33;Salsipuedes
256;-24;0;2;1;0.66;Salsipuedes
257;-16;0;7;3;0.58;Salsipuedes
258;-76;0;6;3;1.58;Macumba
259;-50;0;;;4;Salsipuedes
260;-36;0;;;2.25;Salsipuedes
261;417;0;7;2;0.16;Salsipuedes
262;-184;0;;;17.08;Losmochis
263;75;0;2;6;6.25;Macumba
264;135;0;;;7;Salsipuedes
265;206;0;3;4;6.25;Salsipuedes
266;-15;0;4;8;5.08;Macumba
267;109;0;;8;18.5;Salsipuedes
268;59;0;5;8;5.25;Salsipuedes
269;-34;0;3;9;13.5;Salsipuedes
270;-32;0;1;;2.75;Macumba
271;95;0;;;18.33;Macumba
272;609;0;4;4;27.08;Salsipuedes
273;-7;0;4;6;1.75;Salsipuedes
274;-211;0;4;6;13.33;Salsipuedes
275;-150;0;1;4;2.5;Losmochis
276;-9;0;;;1.66;Salsipuedes
277;92;0;5;4;29.66;Salsipuedes
278;193;0;5;8;21.41;Salsipuedes
279;367;0;7;9;3.25;Salsipuedes
280;244;0;7;6;10.66;Salsipuedes
281;-111;0;4;4;7.08;Salsipuedes
282;-3;0;2;2;7.25;Salsipuedes
283;245;0;2;1;5.41;Losmochis
284;-15;0;2;1;4.25;Salsipuedes
285;-76;0;7;1;30.91;Macumba
286;490;1;4;9;5.58;Salsipuedes
287;-2;0;;;5.66;Macumba
288;-27;0;;;13.41;Salsipuedes
289;19;0;6;6;9.83;Salsipuedes
290;326;0;;;3.5;Salsipuedes
291;117;0;7;6;6.5;Salsipuedes
292;755;0;7;3;10.58;Salsipuedes
293;0;0;2;1;14.91;Salsipuedes
294;23;0;;;1.58;Salsipuedes
295;-60;0;6;8;9;Salsipuedes
296;15;0;;;1.08;Salsipuedes
297;-23;0;5;5;5.16;Salsipuedes
298;-26;0;4;3;18.16;Salsipuedes
299;24;1;1;6;11;Salsipuedes
300;-16;1;3;6;9.83;Salsipuedes
301;184;0;2;9;4.16;Macumba
302;321;1;3;8;21.08;Salsipuedes
303;-8;0;3;5;9.66;Losmochis
304;-40;0;;;3.66;Salsipuedes
305;-127;0;4;9;24.75;Salsipuedes
306;125;0;6;3;26.58;Salsipuedes
307;84;0;3;5;6.08;Macumba
308;-29;0;7;6;3.83;Salsipuedes
309;-37;0;2;2;4.16;Salsipuedes
310;-94;1;4;6;12.91;Salsipuedes
311;63;0;4;6;23.66;Salsipuedes
312;15;0;;;2.33;Salsipuedes
313;-34;0;;3;4.33;Salsipuedes
314;49;0;6;3;26.83;Salsipuedes
315;24;0;5;7;35.08;Salsipuedes
316;672;0;3;9;5.66;Salsipuedes
317;-25;0;;;3.41;Salsipuedes
318;135;0;4;6;6.58;Salsipuedes
319;-38;0;4;8;24.91;Salsipuedes
320;4;0;;;21.16;Salsipuedes
321;-33;0;;;17;Salsipuedes
322;-40;0;;;24.08;Salsipuedes
323;107;0;3;8;4.66;Macumba
324;89;1;;;16.5;Salsipuedes
325;-25;0;;;5.58;Salsipuedes
326;-84;0;;;12.91;Salsipuedes
327;35;0;2;6;1.58;Salsipuedes
328;-22;0;;;2.58;Macumba
329;-25;0;7;9;11.08;Losmochis
330;80;0;;;10.41;Macumba
331;254;0;4;2;7.16;Losmochis
332;460;1;4;9;16.16;Salsipuedes
333;12;0;4;6;7;Salsipuedes
334;73;0;;;0.5;Salsipuedes
335;92;0;3;1;3.83;Losmochis
336;-48;0;3;6;5.16;Salsipuedes
337;551;0;4;9;5.16;Salsipuedes
338;-22;0;4;4;6.58;Losmochis
339;292;0;2;8;8.33;Salsipuedes
340;-24;0;4;6;6.5;Salsipuedes
341;-9;0;5;7;4.91;Salsipuedes
342;151;0;;;16.58;Salsipuedes
343;-65;0;;;7.66;Salsipuedes
344;-25;0;7;5;12.16;Salsipuedes
345;-47;0;;;4.91;Salsipuedes
346;237;0;1;1;0.83;Macumba
347;-26;1;4;6;4.16;Salsipuedes
348;-45;0;3;4;1.58;Salsipuedes
349;-5;0;;;27.83;Salsipuedes
350;372;0;2;9;4.75;Salsipuedes
351;686;0;4;9;2.41;Salsipuedes
352;-120;0;4;6;14.08;Salsipuedes
353;479;0;3;7;2.41;Salsipuedes
354;29;0;;;1.5;Macumba
355;-40;0;7;9;1.66;Salsipuedes
356;-95;0;2;4;4.91;Salsipuedes
357;-61;0;5;3;18.58;Salsipuedes
358;-103;0;4;9;32.5;Salsipuedes
359;48;0;3;8;7.91;Macumba
360;1276;1;;;4.58;Salsipuedes
361;-165;0;;;15.5;Salsipuedes
362;1003;1;5;5;21.91;Salsipuedes
363;-20;0;3;3;4.33;Salsipuedes
364;272;0;3;9;17.08;Salsipuedes
365;378;0;4;7;27.25;Salsipuedes
366;-37;0;;;1.58;Macumba
367;-31;0;4;6;0.5;Salsipuedes
368;-61;0;3;3;6.66;Losmochis
369;-33;0;6;6;0.5;Salsipuedes
370;-37;0;3;3;1.5;Salsipuedes
371;572;0;5;9;9.83;Salsipuedes
372;112;0;3;7;5.41;Salsipuedes
373;-35;1;5;7;5.5;Salsipuedes
374;1227;0;;;10.83;Salsipuedes
375;-133;0;;;23.25;Macumba
376;210;1;3;7;17.5;Salsipuedes
377;195;0;4;7;10.75;Salsipuedes
378;-36;0;;;12.5;Salsipuedes
379;1;0;1;;4.16;Macumba
380;51;0;;;10.41;Salsipuedes
381;1052;0;;;40.66;Salsipuedes
382;-41;0;5;6;18.58;Salsipuedes
383;1;0;4;5;13.5;Salsipuedes
384;210;0;4;9;13.66;Salsipuedes
385;152;1;3;5;5.58;Salsipuedes
386;223;0;7;6;11.58;Salsipuedes
387;404;1;2;9;5.91;Salsipuedes
388;-95;0;4;6;3.41;Macumba
389;161;0;;;12.41;Macumba
390;-181;0;4;4;18.41;Macumba
391;486;0;2;6;6.91;Macumba
392;-6;1;2;6;7.33;Salsipuedes
393;-202;0;3;8;13.91;Salsipuedes
394;-30;0;2;3;3.58;Salsipuedes
395;295;0;3;6;4.83;Salsipuedes
396;-24;0;4;6;2.58;Salsipuedes
397;41;0;7;4;7.25;Losmochis
398;-149;1;4;7;29.33;Salsipuedes
399;-131;0;;;27.41;Losmochis
400;416;0;7;4;2.83;Macumba
401;-43;1;;;3.83;Salsipuedes
402;430;0;4;5;9.66;Salsipuedes
403;-149;0;3;5;7.41;Losmochis
404;48;0;4;4;8.16;Salsipuedes
405;-6;0;7;3;7.41;Salsipuedes
406;-51;0;4;6;4.75;Losmochis
407;-29;0;;;4.33;Salsipuedes
408;3;0;4;6;21.08;Salsipuedes
409;-52;0;4;4;22.33;Macumba
410;163;0;5;7;17.5;Salsipuedes
411;-20;0;3;6;19.33;Salsipuedes
412;153;0;5;3;10.5;Salsipuedes
413;-49;0;;;9.83;Salsipuedes
414;223;0;;;12.08;Salsipuedes
415;503;0;6;4;15.08;Salsipuedes
416;119;0;2;4;6.33;Losmochis
417;480;1;3;7;9.66;Salsipuedes
418;-38;0;;1;2.5;Salsipuedes
419;-1;0;2;1;7.91;Salsipuedes
420;-40;0;;;6.75;Salsipuedes
421;-70;0;7;1;21.66;Salsipuedes
422;552;0;3;9;10.33;Salsipuedes
423;109;0;5;9;15.66;Salsipuedes
424;115;0;6;7;5.66;Losmochis
425;-30;0;3;5;4.75;Salsipuedes
426;314;0;4;2;26;Salsipuedes
427;285;0;6;9;19.16;Salsipuedes
428;-7;1;2;1;2.83;Salsipuedes
429;-66;0;6;6;13.58;Salsipuedes
430;-56;0;;1;1.58;Losmochis
431;392;0;4;8;7.41;Salsipuedes
432;-112;0;6;3;11.08;Losmochis
433;-48;0;;;8.33;Macumba
434;784;0;7;6;15.66;Salsipuedes
435;-59;0;;;4.91;Macumba
436;1818;0;7;1;30.08;Salsipuedes
437;33;0;4;1;3.08;Losmochis
438;-21;0;;;1.58;Macumba
439;8;0;;;17.25;Salsipuedes
440;457;0;4;6;5.91;Salsipuedes
441;-79;0;6;3;22.5;Macumba
442;138;0;1;2;7.33;Salsipuedes
443;129;0;;;10.83;Losmochis
444;-27;0;3;6;2.41;Salsipuedes
445;141;0;2;4;6;Macumba
446;110;0;7;4;19.83;Macumba
447;107;0;6;7;27.66;Salsipuedes
448;-7;0;;;17;Salsipuedes
449;94;0;3;5;6.83;Salsipuedes
450;48;0;2;3;3.33;Salsipuedes
451;-9;0;4;1;5;Losmochis
452;-39;1;;;10.66;Salsipuedes
453;-32;0;;;2.08;Salsipuedes
454;111;0;4;2;14.75;Losmochis
455;381;0;5;9;5.25;Macumba
456;-30;0;;;1.33;Losmochis
457;-17;0;2;6;6.66;Salsipuedes
458;30;0;7;1;20;Salsipuedes
459;442;1;2;4;8.33;Salsipuedes
460;720;0;7;4;19.33;Macumba
461;210;0;3;8;7;Salsipuedes
462;-54;0;;;33.83;Losmochis
463;-2;0;4;6;6.58;Losmochis
464;-29;0;6;;4.66;Macumba
465;-1;0;;;3.91;Salsipuedes
466;-3;0;3;1;6.16;Salsipuedes
467;-53;0;7;6;12;Salsipuedes
468;103;0;6;3;10.5;Salsipuedes
469;300;0;3;9;16.33;Salsipuedes
470;146;0;7;9;0.91;Salsipuedes
471;145;0;5;5;28;Salsipuedes
472;-26;0;;;9.66;Salsipuedes
473;58;0;1;6;4.83;Salsipuedes
474;8;0;2;7;5.91;Salsipuedes
475;380;0;;;1.66;Macumba
476;-119;0;;;4.33;Macumba
477;359;0;4;6;2.41;Salsipuedes
478;0;0;6;5;7.33;Salsipuedes
479;-4;1;5;6;11.25;Salsipuedes
480;14;0;;;1;Salsipuedes
481;795;0;7;9;10.91;Salsipuedes
482;-21;0;;6;22.33;Salsipuedes
483;-33;0;6;4;6.83;Macumba
484;350;1;;;1.75;Salsipuedes
485;95;1;4;7;7.75;Salsipuedes
486;677;0;;;37.41;Salsipuedes
487;6;0;7;6;7.58;Salsipuedes
488;-12;0;2;1;10.5;Losmochis
489;-3;0;7;7;3.75;Macumba
490;61;0;7;3;18.25;Salsipuedes
491;-7;0;7;6;19.25;Salsipuedes
492;8;0;;;11.33;Salsipuedes
493;558;0;2;2;1.66;Salsipuedes
494;194;0;;;4.66;Salsipuedes
495;10;0;;;5.83;Salsipuedes
496;96;0;5;6;29.66;Salsipuedes
497;258;0;3;6;10.33;Salsipuedes
498;184;1;4;5;33.5;Macumba
499;-72;0;7;1;10.41;Salsipuedes
500;827;0;3;6;14.75;Salsipuedes
501;785;0;;;34.25;Macumba
502;-34;0;4;3;30.91;Macumba
503;13;0;4;2;0.75;Salsipuedes
504;-21;0;4;6;19.41;Salsipuedes
505;-9;0;;;7.58;Salsipuedes
506;127;0;3;5;6;Salsipuedes
507;-29;0;2;6;2.33;Salsipuedes
508;297;0;2;4;9;Salsipuedes
509;14;0;;;0.5;Macumba
510;-82;0;7;4;13.33;Salsipuedes
511;-34;0;7;6;7.58;Salsipuedes
512;99;0;6;5;11.41;Salsipuedes
513;-145;0;4;6;4.5;Salsipuedes
514;-2;0;;;1;Losmochis
515;9;0;3;9;9.75;Salsipuedes
516;76;0;4;8;18.58;Salsipuedes
517;116;0;3;9;33.75;Salsipuedes
518;116;0;;;3.16;Salsipuedes
519;-118;0;4;9;11.25;Salsipuedes
520;172;0;;;22.83;Salsipuedes
521;487;0;;;5.08;Salsipuedes
522;-22;1;2;3;6.33;Salsipuedes
523;-48;0;2;4;4.66;Losmochis
524;147;0;3;5;4.08;Macumba
525;49;0;5;9;1.66;Salsipuedes
526;610;0;6;6;6.75;Losmochis
527;523;0;;;12.83;Salsipuedes
528;125;1;;;4.58;Salsipuedes
529;205;0;3;6;7.16;Salsipuedes
530;922;0;4;9;3.91;Salsipuedes
531;-78;0;2;7;9.66;Salsipuedes
532;222;0;6;2;3.33;Macumba
533;37;0;7;2;28.58;Salsipuedes
534;-72;0;;;10.66;Salsipuedes
535;63;0;;;8.58;Salsipuedes
536;125;0;4;3;6.33;Salsipuedes
537;-148;0;6;8;11.5;Salsipuedes
538;1364;0;;;26.08;Losmochis
539;-28;0;;;9.5;Macumba
540;-35;0;;1;6;Salsipuedes
541;-33;0;3;6;13.5;Salsipuedes
542;17;0;3;8;3.33;Salsipuedes
543;107;0;7;9;4.91;Salsipuedes
544;236;0;7;9;14.16;Salsipuedes
545;124;0;4;9;5.66;Salsipuedes
546;-31;0;2;1;12.25;Losmochis
547;-6;0;;;2.66;Losmochis
548;-18;0;5;6;28.33;Salsipuedes
549;-30;0;4;5;1.66;Macumba
550;-3;0;3;8;3.25;Salsipuedes
551;-94;1;;;22.08;Salsipuedes
552;-32;0;;;4.66;Salsipuedes
553;-26;0;6;5;6.75;Macumba
554;-56;0;;;3.66;Salsipuedes
555;-31;0;;;5.58;Salsipuedes
556;257;1;4;6;2.08;Salsipuedes
557;275;0;7;3;5.08;Losmochis
558;491;0;;;4.25;Salsipuedes
559;92;0;2;6;2.33;Salsipuedes
560;1362;0;;;16.91;Salsipuedes
561;226;0;6;6;3.91;Salsipuedes
562;-58;0;4;5;3.66;Losmochis
563;377;1;;;3.83;Salsipuedes
564;10;0;6;6;33.41;Salsipuedes
565;-104;0;3;5;5.5;Salsipuedes
566;51;1;6;5;0.66;Salsipuedes
567;-59;0;;;15.75;Salsipuedes
568;10;0;4;7;18.41;Macumba
569;9;0;1;3;5.33;Macumba
570;-69;1;5;6;14.08;Salsipuedes
571;11;0;;;5.75;Salsipuedes
572;-50;0;4;5;4.25;Salsipuedes
573;54;0;;;6.16;Salsipuedes
574;379;0;2;8;4.41;Salsipuedes
575;-56;0;;;1.33;Salsipuedes
576;0;0;;;7.25;Macumba
577;105;0;;;22.41;Salsipuedes
578;516;0;3;7;22.16;Salsipuedes
579;531;0;5;1;13.08;Salsipuedes
580;-113;0;2;8;4.75;Salsipuedes
581;767;0;6;2;25.41;Salsipuedes
582;736;0;4;7;17.83;Salsipuedes
583;120;0;3;8;1.25;Salsipuedes
584;-28;0;3;7;19.83;Salsipuedes
585;-55;0;;;11.5;Macumba
586;152;0;3;5;5;Losmochis
587;-4;0;4;4;3.5;Salsipuedes
588;-37;0;;;1.41;Salsipuedes
589;-47;0;;;3;Salsipuedes
590;-37;0;4;3;17.91;Salsipuedes
591;-39;0;;;6.58;Salsipuedes
592;159;0;3;;7.16;Salsipuedes
593;82;0;2;6;4.58;Salsipuedes
594;-56;0;;;3.25;Salsipuedes
595;-51;0;3;6;10.41;Macumba
596;-98;1;3;6;1.91;Salsipuedes
597;1043;0;6;4;31;Salsipuedes
598;1;1;3;5;0.83;Salsipuedes
599;16;0;2;4;5.25;Losmochis
600;-29;0;;;5;Salsipuedes
601;-89;0;3;6;14.58;Salsipuedes
602;-29;0;7;2;18;Salsipuedes
603;44;0;3;6;1.41;Salsipuedes
604;-36;0;5;9;38.58;Salsipuedes
605;348;0;3;8;0.66;Salsipuedes
606;-18;0;3;6;5.83;Salsipuedes
607;-187;1;5;6;6.91;Losmochis
608;1379;0;5;9;13.41;Salsipuedes
609;829;0;6;3;28.41;Salsipuedes
610;-98;1;7;6;16.41;Losmochis
611;50;0;1;4;5;Macumba
612;-15;1;2;6;2;Salsipuedes
613;190;0;;;7.41;Salsipuedes
614;-80;0;;;1.25;Salsipuedes
615;-10;0;2;9;1.5;Salsipuedes
616;12;1;;;3.83;Salsipuedes
617;5;0;2;6;4.16;Salsipuedes
618;41;0;2;4;6.33;Salsipuedes
619;48;0;3;9;8.41;Salsipuedes
620;110;0;5;6;2.16;Salsipuedes
621;-47;0;4;7;3.66;Losmochis
622;-83;0;;;8.75;Salsipuedes
623;-97;0;5;5;25.25;Macumba
624;466;0;2;5;7.83;Losmochis
625;-31;0;;;2.25;Losmochis
626;34;0;5;4;1.5;Macumba
627;282;0;4;9;23.16;Salsipuedes
628;-28;0;4;7;7.91;Salsipuedes
629;-89;0;5;6;1.58;Salsipuedes
630;-31;0;5;7;16.25;Salsipuedes
631;-26;0;6;1;25.75;Losmochis
632;165;0;5;6;18.08;Losmochis
633;437;0;3;9;5.41;Salsipuedes
634;331;0;7;4;21.08;Losmochis
635;-125;1;7;5;9.75;Salsipuedes
636;881;0;3;3;5;Salsipuedes
637;-4;0;;;4.08;Macumba
638;-24;0;;;17.66;Macumba
639;-46;0;3;4;6.83;Salsipuedes
640;-33;0;5;1;0.83;Salsipuedes
641;-51;0;3;3;20;Salsipuedes
642;-17;0;4;4;3.83;Salsipuedes
643;248;0;;;1.41;Macumba
644;-13;0;3;6;3.91;Salsipuedes
645;-61;0;2;4;12.41;Losmochis
646;82;0;4;6;26.58;Salsipuedes
647;469;0;5;5;21.5;Macumba
648;-123;1;2;8;6.41;Macumba
649;76;0;6;5;30.83;Salsipuedes
650;-4;0;;;33.66;Macumba
651;-64;1;2;4;2.41;Salsipuedes
652;212;0;3;7;19.08;Salsipuedes
653;1230;0;4;9;1;Salsipuedes
654;-31;0;3;2;6.08;Salsipuedes
655;273;0;6;7;6.91;Salsipuedes
656;172;0;;;22.08;Salsipuedes
657;46;0;;;11.66;Losmochis
